Time,Hour,Value,Load
0.0,0.0,1.0,172.50013396236488
1.0,1.0,1.0,154.98024038376485
2.0,2.0,1.0,135.53291029836484
3.0,3.0,1.0,120.47974586796484
4.0,4.0,1.0,116.58163909566484
5.0,5.0,1.0,116.19998363556483
6.0,6.0,1.0,119.87274110466484
7.0,7.0,1.0,124.55756991516483
8.0,8.0,1.0,134.40558917226485
9.0,9.0,1.0,142.93851785256484
10.0,10.0,1.0,164.24501972256485
11.0,11.0,1.0,179.69547333936484
12.0,12.0,1.0,179.26304052546485
13.0,13.0,1.0,180.18319122516488
14.0,14.0,1.0,177.12197925216486
15.0,15.0,1.0,175.87760062746483
16.0,16.0,1.0,183.44658124416483
17.0,17.0,1.0,219.83201594466487
18.0,18.0,1.0,228.0413892306649
19.0,19.0,1.0,225.96126996756485
20.0,20.0,1.0,224.87807298186488
21.0,21.0,1.0,205.07449110456488
22.0,22.0,1.0,191.27394534306487
23.0,23.0,1.0,174.32776957446487
24.0,0.0,0.0,135.19150280376485
25.0,1.0,0.0,123.48937511256484
26.0,2.0,0.0,118.29993160356484
27.0,3.0,0.0,115.98072394056484
28.0,4.0,0.0,115.81588094556486
29.0,5.0,0.0,122.38631146656483
30.0,6.0,0.0,144.71627749746486
31.0,7.0,0.0,204.40075376376484
32.0,8.0,0.0,269.20586228076485
33.0,9.0,0.0,291.75559467876485
34.0,10.0,0.0,297.63018957276483
35.0,11.0,0.0,299.4672953007648
36.0,12.0,0.0,286.2124824837648
37.0,13.0,0.0,288.00622351776485
38.0,14.0,0.0,285.56733426276486
39.0,15.0,0.0,282.79078275276487
40.0,16.0,0.0,276.13337691876484
41.0,17.0,0.0,270.52018813206485
42.0,18.0,0.0,265.4038757310649
43.0,19.0,0.0,265.1792448867649
44.0,20.0,0.0,252.66277008306483
45.0,21.0,0.0,230.70559892976485
46.0,22.0,0.0,199.95935599776487
47.0,23.0,0.0,168.48978329976484
48.0,0.0,0.0,140.78867797176483
49.0,1.0,0.0,126.75703905306484
50.0,2.0,0.0,121.84440270456484
51.0,3.0,0.0,119.30442442656484
52.0,4.0,0.0,120.30464332806484
53.0,5.0,0.0,126.04921207806484
54.0,6.0,0.0,147.72519625596485
55.0,7.0,0.0,209.53474634226484
56.0,8.0,0.0,279.96932867826484
57.0,9.0,0.0,296.8821146322648
58.0,10.0,0.0,303.10150359276486
59.0,11.0,0.0,303.8999801502648
60.0,12.0,0.0,291.33834888426486
61.0,13.0,0.0,294.2191471332648
62.0,14.0,0.0,294.6073058937648
63.0,15.0,0.0,288.30373269576484
64.0,16.0,0.0,278.22954056826484
65.0,17.0,0.0,272.52124344126486
66.0,18.0,0.0,267.92980711356483
67.0,19.0,0.0,263.3473683678649
68.0,20.0,0.0,244.31561223906488
69.0,21.0,0.0,222.72940927176484
70.0,22.0,0.0,198.6013034142649
71.0,23.0,0.0,171.72846913176485
72.0,0.0,0.0,140.38274302176484
73.0,1.0,0.0,127.18100296686484
74.0,2.0,0.0,121.60302496056484
75.0,3.0,0.0,120.88528913556485
76.0,4.0,0.0,123.81644801406485
77.0,5.0,0.0,130.06810867506482
78.0,6.0,0.0,156.50319705096484
79.0,7.0,0.0,217.43698738926489
80.0,8.0,0.0,284.1019182117648
81.0,9.0,0.0,305.91822109326483
82.0,10.0,0.0,309.8745478617648
83.0,11.0,0.0,312.7129477092649
84.0,12.0,0.0,304.81005310926486
85.0,13.0,0.0,310.1002729017648
86.0,14.0,0.0,316.5453189642648
87.0,15.0,0.0,311.22512782026485
88.0,16.0,0.0,303.73065829626483
89.0,17.0,0.0,296.57851853976484
90.0,18.0,0.0,285.1717814817648
91.0,19.0,0.0,281.7846128127648
92.0,20.0,0.0,266.15505448656484
93.0,21.0,0.0,244.9044582267649
94.0,22.0,0.0,217.29958238526487
95.0,23.0,0.0,189.2358388632649
96.0,0.0,0.0,158.18303527026487
97.0,1.0,0.0,143.95494318186485
98.0,2.0,0.0,137.68812548406484
99.0,3.0,0.0,135.92590770906483
100.0,4.0,0.0,135.04666346856482
101.0,5.0,0.0,137.39555669406485
102.0,6.0,0.0,157.34374523346486
103.0,7.0,0.0,213.01022325726484
104.0,8.0,0.0,279.6079835532649
105.0,9.0,0.0,300.2646416157648
106.0,10.0,0.0,303.2174828412648
107.0,11.0,0.0,305.4546297522648
108.0,12.0,0.0,294.68810052726485
109.0,13.0,0.0,292.4755488777649
110.0,14.0,0.0,288.18767147226487
111.0,15.0,0.0,273.62643281976483
112.0,16.0,0.0,269.37862539276483
113.0,17.0,0.0,273.28424959476484
114.0,18.0,0.0,263.59012912866484
115.0,19.0,0.0,256.37776503576487
116.0,20.0,0.0,242.54545918656487
117.0,21.0,0.0,218.98567303926487
118.0,22.0,0.0,200.2099480512649
119.0,23.0,0.0,174.63420233226483
120.0,0.0,1.0,143.82794875926484
121.0,1.0,1.0,126.41039628516484
122.0,2.0,1.0,118.33069238406485
123.0,3.0,1.0,118.06271885556484
124.0,4.0,1.0,120.80875438656484
