Time,Hour,Value,Load
0.0,0.0,1.0,124.3235872114779
1.0,1.0,1.0,124.11897087165242
2.0,2.0,1.0,124.01313483381166
3.0,3.0,1.0,123.7520726071378
4.0,4.0,1.0,124.07663645651613
5.0,5.0,1.0,126.15807853405111
6.0,6.0,1.0,129.85528412262178
7.0,7.0,1.0,133.23498159767016
8.0,8.0,1.0,133.15031276739754
9.0,9.0,1.0,134.44151242905485
10.0,10.0,1.0,134.86485658041792
11.0,11.0,1.0,134.6390730330243
12.0,12.0,1.0,134.24395182508545
13.0,13.0,1.0,134.1381157872447
14.0,14.0,1.0,134.15222725895677
15.0,15.0,1.0,133.91233223985105
16.0,16.0,1.0,134.2651190326536
17.0,17.0,1.0,134.53323699518353
18.0,18.0,1.0,134.10283710796443
19.0,19.0,1.0,132.81869318216317
20.0,20.0,1.0,131.94378193601284
21.0,21.0,1.0,130.33507416083324
22.0,22.0,1.0,127.46338966742051
23.0,23.0,1.0,125.84762615638488
24.0,0.0,0.0,124.95860343852247
25.0,1.0,0.0,124.99388211780274
26.0,2.0,0.0,125.05032800465112
27.0,3.0,0.0,124.90921328753012
28.0,4.0,0.0,125.45250494844603
29.0,5.0,0.0,127.80912072436703
30.0,6.0,0.0,133.61599133389691
31.0,7.0,0.0,139.4228619434268
32.0,8.0,0.0,140.10726832146372
33.0,9.0,0.0,140.53766820868282
34.0,10.0,0.0,139.81798315136564
35.0,11.0,0.0,139.74037005694908
36.0,12.0,0.0,139.55692092469175
37.0,13.0,0.0,139.1476882450408
38.0,14.0,0.0,138.93601616935928
39.0,15.0,0.0,139.43697341513888
40.0,16.0,0.0,140.93984515247774
41.0,17.0,0.0,140.94690088833377
42.0,18.0,0.0,140.0225994911911
43.0,19.0,0.0,138.44917039529176
44.0,20.0,0.0,136.42417420460515
45.0,21.0,0.0,133.70771590002556
46.0,22.0,0.0,129.5942218959479
47.0,23.0,0.0,127.67506174310206
48.0,0.0,0.0,124.55642649472756
49.0,1.0,0.0,124.45764619274286
50.0,2.0,0.0,124.49998060787917
51.0,3.0,0.0,124.47175766445496
52.0,4.0,0.0,124.97271491023456
53.0,5.0,0.0,127.59039291282946
54.0,6.0,0.0,133.5172110319122
55.0,7.0,0.0,139.5498651888357
56.0,8.0,0.0,140.79167469950067
57.0,9.0,0.0,141.06684839788664
58.0,10.0,0.0,140.29071745372104
59.0,11.0,0.0,139.81798315136564
60.0,12.0,0.0,139.32408164144206
61.0,13.0,0.0,138.62556379169305
62.0,14.0,0.0,138.37861303673125
63.0,15.0,0.0,138.92190469764716
64.0,16.0,0.0,140.5235567369707
65.0,17.0,0.0,139.88854050992617
66.0,18.0,0.0,138.99951779206373
67.0,19.0,0.0,137.24969529976312
68.0,20.0,0.0,134.8366336369937
69.0,21.0,0.0,132.1836769551186
70.0,22.0,0.0,128.42296974384345
71.0,23.0,0.0,127.06121272362564
72.0,0.0,0.0,125.78412453368044
73.0,1.0,0.0,125.78412453368044
74.0,2.0,0.0,125.93935072251357
75.0,3.0,0.0,125.98168513764986
76.0,4.0,0.0,126.45441944000524
77.0,5.0,0.0,128.8322024234944
78.0,6.0,0.0,134.7660762784332
79.0,7.0,0.0,141.0456811903185
80.0,8.0,0.0,141.96292685160512
81.0,9.0,0.0,142.0193727384535
82.0,10.0,0.0,141.116238548879
83.0,11.0,0.0,141.42669092654523
84.0,12.0,0.0,141.07390413374267
85.0,13.0,0.0,140.35421907642552
86.0,14.0,0.0,140.4671108501223
87.0,15.0,0.0,141.23618605843188
88.0,16.0,0.0,142.78844794676306
89.0,17.0,0.0,143.50107726822418
90.0,18.0,0.0,143.4587428530879
91.0,19.0,0.0,141.91353670061275
92.0,20.0,0.0,138.69612115025353
93.0,21.0,0.0,135.14003027880392
94.0,22.0,0.0,130.20807091542434
95.0,23.0,0.0,128.4018025362753
96.0,0.0,0.0,127.110602874618
97.0,1.0,0.0,126.94832094992884
98.0,2.0,0.0,127.03298978020143
99.0,3.0,0.0,127.06826845948169
100.0,4.0,0.0,127.40694378057212
101.0,5.0,0.0,129.84117265090967
102.0,6.0,0.0,136.10666609108287
103.0,7.0,0.0,142.15343171971847
104.0,8.0,0.0,143.21884783398215
105.0,9.0,0.0,143.50107726822418
106.0,10.0,0.0,142.506218512521
107.0,11.0,0.0,142.80255941847517
108.0,12.0,0.0,142.64733322964204
109.0,13.0,0.0,142.08993009701402
110.0,14.0,0.0,141.9347039081809
111.0,15.0,0.0,142.4215496822484
112.0,16.0,0.0,143.53635594750443
113.0,17.0,0.0,143.62102477777705
114.0,18.0,0.0,143.68452640048153
115.0,19.0,0.0,142.65438896549807
116.0,20.0,0.0,140.2272158310166
117.0,21.0,0.0,136.3888955253249
118.0,22.0,0.0,131.42165748266507
119.0,23.0,0.0,129.62244483937212
120.0,0.0,1.0,125.42428200502184
121.0,1.0,1.0,125.1420525707798
122.0,2.0,1.0,124.83160019311356
123.0,3.0,1.0,124.895101815818
124.0,4.0,1.0,125.1138296273556
125.0,5.0,1.0,127.3081634785874
126.0,6.0,1.0,132.9950865785644
127.0,7.0,1.0,139.28174722630575
128.0,8.0,1.0,139.09829809404846
129.0,9.0,1.0,139.07007515062423
130.0,10.0,1.0,139.40169473585863
131.0,11.0,1.0,139.66981269838857
132.0,12.0,1.0,139.33819311315418
133.0,13.0,1.0,137.0239117523695
134.0,14.0,1.0,135.65509899629564
135.0,15.0,1.0,136.09255461937076
136.0,16.0,1.0,136.67818069542298
137.0,17.0,1.0,137.99054756464844
138.0,18.0,1.0,137.1650264694905
139.0,19.0,1.0,135.69743341143192
140.0,20.0,1.0,134.6672959764485
141.0,21.0,1.0,132.64229978576188
142.0,22.0,1.0,129.0368187633199
143.0,23.0,1.0,127.59744864868551
144.0,0.0,1.0,124.40825604175052
145.0,1.0,1.0,124.14013807922058
146.0,2.0,1.0,123.99902336209956
147.0,3.0,1.0,123.73796113542568
148.0,4.0,1.0,124.08369219237215
149.0,5.0,1.0,126.21452442089956
150.0,6.0,1.0,129.89761853775812
151.0,7.0,1.0,133.2702602769504
152.0,8.0,1.0,133.1714799749657
153.0,9.0,1.0,134.39917801391854
154.0,10.0,1.0,134.78724348600136
155.0,11.0,1.0,134.6390730330243
156.0,12.0,1.0,134.25806329679756
157.0,13.0,1.0,134.1381157872447
158.0,14.0,1.0,134.10283710796443
159.0,15.0,1.0,133.79944046615424
160.0,16.0,1.0,134.08166990039626
161.0,17.0,1.0,134.52618125932747
162.0,18.0,1.0,134.19456167409308
163.0,19.0,1.0,132.87513906901157
164.0,20.0,1.0,131.9720048794371
165.0,21.0,1.0,130.36329710425747
166.0,22.0,1.0,127.43516672399632
167.0,23.0,1.0,125.84762615638488
168.0,0.0,0.0,124.06958072066006
169.0,1.0,0.0,124.14013807922058
170.0,2.0,0.0,124.21775117363714
171.0,3.0,0.0,124.04135777723586
172.0,4.0,0.0,124.74693136284095
173.0,5.0,0.0,128.02079280004858
174.0,6.0,0.0,133.3760963147912
175.0,7.0,0.0,139.7474257928051
176.0,8.0,0.0,141.31379915284842
177.0,9.0,0.0,141.79358919105988
178.0,10.0,0.0,141.0880156054548
179.0,11.0,0.0,141.05979266203062
180.0,12.0,0.0,141.21501885086371
181.0,13.0,0.0,140.63644851066752
182.0,14.0,0.0,140.69289439751594
183.0,15.0,0.0,141.05979266203062
184.0,16.0,0.0,142.76728073919492
185.0,17.0,0.0,143.47991006065604
186.0,18.0,0.0,142.90839545631593
187.0,19.0,0.0,141.37730077555287
188.0,20.0,0.0,137.23558382805103
189.0,21.0,0.0,134.12400431553257
190.0,22.0,0.0,129.9258414811823
191.0,23.0,0.0,127.9008452904957
192.0,0.0,0.0,125.1984984576282
193.0,1.0,0.0,125.24788860862056
194.0,2.0,0.0,125.33255743889318
195.0,3.0,0.0,125.24083287276451
196.0,4.0,0.0,125.84057042052883
197.0,5.0,0.0,128.32418944185875
198.0,6.0,0.0,134.63201729716823
199.0,7.0,0.0,140.96101236004588
200.0,8.0,0.0,141.77947771934777
201.0,9.0,0.0,142.06170715358982
202.0,10.0,0.0,141.03862545446248
203.0,11.0,0.0,141.01745824689428
204.0,12.0,0.0,140.84812058634904
205.0,13.0,0.0,140.37538628399366
206.0,14.0,0.0,140.08610111389558
207.0,15.0,0.0,140.7281730767962
208.0,16.0,0.0,142.42860541810447
209.0,17.0,0.0,142.49210704080895
210.0,18.0,0.0,141.48313681339363
211.0,19.0,0.0,139.86031756650195
212.0,20.0,0.0,137.5389804698612
213.0,21.0,0.0,134.56851567446378
214.0,22.0,0.0,130.09517914172753
215.0,23.0,0.0,128.18307472473774
216.0,0.0,0.0,124.61992811743204
217.0,1.0,0.0,124.52820355130338
218.0,2.0,0.0,124.54937075887152
219.0,3.0,0.0,124.52820355130338
220.0,4.0,0.0,125.05032800465112
221.0,5.0,0.0,127.77384204508678
222.0,6.0,0.0,133.65127001317717
223.0,7.0,0.0,139.52869798126756
224.0,8.0,0.0,140.6717271899478
225.0,9.0,0.0,141.02451398275036
226.0,10.0,0.0,140.27660598200893
227.0,11.0,0.0,139.8250388872217
228.0,12.0,0.0,139.27469149044973
229.0,13.0,0.0,138.56911790484463
230.0,14.0,0.0,138.30099994231472
231.0,15.0,0.0,138.7878457163822
232.0,16.0,0.0,140.2272158310166
233.0,17.0,0.0,139.81092741550958
234.0,18.0,0.0,138.99246205620767
235.0,19.0,0.0,137.27791824318732
236.0,20.0,0.0,134.89307952384212
237.0,21.0,0.0,132.21189989854278
238.0,22.0,0.0,128.4018025362753
239.0,23.0,0.0,127.11765861047404
240.0,0.0,0.0,125.861737628097
241.0,1.0,0.0,125.84057042052883
242.0,2.0,0.0,125.98168513764986
243.0,3.0,0.0,126.0310752886422
244.0,4.0,0.0,126.56025547784604
245.0,5.0,0.0,129.01565155575173
246.0,6.0,0.0,134.9071909955542
247.0,7.0,0.0,141.05979266203062
248.0,8.0,0.0,141.88531375718856
249.0,9.0,0.0,142.0052612667414
