Time,Hour,Value,Load
0.0,0.0,1.0,220.36461396760936
1.0,1.0,1.0,207.64623713875875
2.0,2.0,1.0,195.15430326804287
3.0,3.0,1.0,184.830505607544
4.0,4.0,1.0,181.9677143187724
5.0,5.0,1.0,183.6783956046837
6.0,6.0,1.0,190.60226831865648
7.0,7.0,1.0,197.5504504384818
8.0,8.0,1.0,204.7325726050092
9.0,9.0,1.0,212.87726830584225
10.0,10.0,1.0,226.28969630070551
11.0,11.0,1.0,235.35266559411176
12.0,12.0,1.0,235.40458097607265
13.0,13.0,1.0,236.0411216108569
14.0,14.0,1.0,234.29797617901897
15.0,15.0,1.0,233.01490028176303
16.0,16.0,1.0,237.18749380431584
17.0,17.0,1.0,260.0043941368959
18.0,18.0,1.0,263.84729098045153
19.0,19.0,1.0,260.4526035671996
20.0,20.0,1.0,258.07579312264875
21.0,21.0,1.0,241.8472747156682
22.0,22.0,1.0,230.07949168467883
23.0,23.0,1.0,215.5986365396172
24.0,0.0,0.0,192.8050341869043
25.0,1.0,0.0,184.3286861288096
26.0,2.0,0.0,181.69361151645805
27.0,3.0,0.0,180.6155057698369
28.0,4.0,0.0,181.5087879965781
29.0,5.0,0.0,186.9000268396505
30.0,6.0,0.0,202.1533931853588
31.0,7.0,0.0,222.0362968280671
32.0,8.0,0.0,230.57836389642927
33.0,9.0,0.0,236.0976111228737
34.0,10.0,0.0,235.1128559516061
35.0,11.0,0.0,233.9852248842145
36.0,12.0,0.0,233.79904831810708
37.0,13.0,0.0,232.34312607640587
38.0,14.0,0.0,230.57565780397425
39.0,15.0,0.0,232.91916220622915
40.0,16.0,0.0,244.75958429299385
41.0,17.0,0.0,265.5154232910749
42.0,18.0,0.0,273.07895983895673
43.0,19.0,0.0,272.82732655488144
44.0,20.0,0.0,264.4618610926186
45.0,21.0,0.0,251.4879236274125
46.0,22.0,0.0,232.43592007565744
47.0,23.0,0.0,212.17357372561048
48.0,0.0,0.0,192.98985770678416
49.0,1.0,0.0,183.8092540211494
50.0,2.0,0.0,181.3068642781357
51.0,3.0,0.0,180.1550287218115
52.0,4.0,0.0,180.8021813315664
53.0,5.0,0.0,185.78940320813783
54.0,6.0,0.0,199.861266145724
55.0,7.0,0.0,220.45562246902605
56.0,8.0,0.0,234.1172668172917
57.0,9.0,0.0,237.38125190895283
58.0,10.0,0.0,237.8505669375368
59.0,11.0,0.0,236.0791322891061
