,type,vm_pu,gen_p_pu,gen_q_pu,load_p_pu,load_q_pu,sgen_p_pu,sgen_q_pu,slack_weight
0,1,1.0,0.0,,0.0,0.0,0.0,0.0,1
1,3,,0.0,,0.0,0.0,0.0,0.0,0
2,2,1.0,0.3556346473679893,,1.8253714129930179,0.5999705694986873,0.0,0.0,0
3,2,1.0,5.555507478042251e-09,,2.71112254208993,0.8911028867770735,3.0315978791365,0.0,0
4,3,,0.0,,1.5209580804067866,0.4999147456730661,0.0,0.0,0
5,3,,0.0,,0.6378063838017902,0.20963682053725802,3.888479948273,0.0,0
6,2,1.0,1.4758909533693318,,3.2939209437351593,1.0826594579215074,4.5871480982729995,0.0,0
7,3,,0.0,,0.0,0.0,0.0,0.0,0
8,2,1.0,0.911301409758136,,0.9388225395285476,0.30857604632668856,0.6663036291364999,0.0,0
9,2,1.0,0.47999999902049956,,1.7250013396236488,0.5669805217465393,2.6017985691365,0.0,0
10,2,1.0,1.3360523334944099,,5.202535173013843,1.7099906180036175,1.8678976291366343,0.0,0
11,2,1.0,6.564081082679552,,2.2832757691013663,0.7504764530436633,0.1056436091364991,0.0,0
12,2,1.0,5.403050636440594,,2.82084423381974,0.9271666628419973,2.243278648273,0.0,0
13,2,1.0,0.2985673979952447,,1.1645716561934976,0.3827761927326264,1.2790545991365,0.0,0
14,2,1.0,0.6137651860244528,,1.5527623987360937,0.5103683195839581,0.0,0.0,0
15,2,1.0,1.5121431111397743,,2.7141838519242434,0.8921090906606401,1.1802656091365,0.0,0
16,2,1.0,0.24999999913649965,,3.1368439680885105,1.0310307527368865,0.0,0.0,0
17,3,,0.0,,9.84321361628304,3.235307859552393,0.2856754291364997,0.0,0
18,2,1.0,0.974877731957482,,0.0,0.0,0.0,0.0,0
19,3,,0.0,,2.496450129817469,0.8205434770427117,0.0,0.0,0
20,3,,0.0,,0.0,0.0,0.0,0.0,0
21,2,1.0,17.277459312227215,,0.0,0.0,5.6480592891365005,0.0,0
22,2,1.0,8.279791836691192,,12.935993623941679,4.25185548888475,1.891666969136659,0.0,0
23,2,1.0,0.46455701006495753,,1.243235872114779,0.4086318701523098,0.0,0.0,0
24,2,1.0,0.48923598838498406,,2.203646139676094,0.724303459550293,0.0,0.0,0
25,2,1.0,1.0893898478679924,,2.03690873595548,0.6694995252085364,1.7750942691364995,0.0,0
26,2,1.0,0.5106476983545956,,8.683810052743514,2.8542303367292186,0.6638031491366603,0.0,0
27,3,,0.0,,0.0,0.0,0.0,0.0,0
28,2,1.0,20.242436608582636,,1.9409531412786902,0.6379604464352899,0.0,0.0,0
29,2,1.0,7.104368049963228,,15.397378177645987,5.060873468420127,0.7844288982729996,0.0,0
30,2,1.0,0.2544896731704007,,3.2228065427733235,1.0592852846760357,0.0,0.0,0
31,3,,0.0,,1.41042211690987,0.46358333142099867,0.0,0.0,0
32,3,,0.0,,14.933031538777781,4.908250108930918,0.36665188913649976,0.0,0
33,2,1.0,0.36028866220761335,,2.8711742974574976,0.9437093547723687,0.0,0.0,0
34,3,,0.0,,4.129056762352938,1.3571553271667096,5.7612237491365015,0.0,0
35,2,,0.0,,0.0,0.0,0.0,0.0,0
36,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
37,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
38,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
39,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
40,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
41,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
42,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
43,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
44,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
0,1,1.0,0.0,,0.0,0.0,0.0,0.0,1
1,3,,0.0,,0.0,0.0,0.0,0.0,0
2,2,1.0,0.2498116917328954,,1.8223671494761249,0.5989831158329157,0.0,0.0,0
3,2,1.0,5.878586944057265e-09,,2.5090298863471334,0.8246782430610324,3.0216924890862433,0.0,0
4,3,,0.0,,1.5184548315670359,0.49909196756813257,0.0,0.0,0
5,3,,0.0,,0.6367566585589941,0.2092917925351459,3.863739878172488,0.0,0
6,2,1.0,0.905820606483098,,3.085576192434047,1.0141798497713885,4.623921778172488,0.0,0
7,3,,0.0,,0.0,0.0,0.0,0.0,0
8,2,1.0,0.7728577905736668,,0.9372773908074348,0.30806818050192136,0.659392319086244,0.0,0
9,2,1.0,0.4799999989635001,,1.5498024038376486,0.5093954163094288,2.5385204590862442,0.0,0
10,2,1.0,0.850678282939277,,4.835532164181381,1.5893625624475691,1.8623602490864337,0.0,0
11,2,1.0,5.818722008127083,,2.1591565029584685,0.7096804231160277,0.10661392908624304,0.0,0
12,2,1.0,5.3815280216940575,,2.816201584461818,0.9256406977921294,2.229155508172488,0.0,0
13,2,1.0,0.22477424699454862,,1.16265496125974,0.38214620557342355,1.280727749086244,0.0,0
14,2,1.0,0.33094174565386214,,1.5502068051775877,0.5095283366019797,0.0,0.0,0
15,2,1.0,0.9938003961990926,,2.538187363613212,0.8342618423855065,1.182458879086244,0.0,0
16,2,1.0,0.24999999908624365,,3.131681234726722,1.02933384434159,0.0,0.0,0
17,3,,0.0,,9.119154476503713,2.9973211290974477,0.2986243190862437,0.0,0
18,2,1.0,0.600573409668685,,0.0,0.0,0.0,0.0,0
19,3,,0.0,,2.492341380226362,0.8191929963599547,0.0,0.0,0
20,3,,0.0,,0.0,0.0,0.0,0.0,0
21,2,1.0,16.706772691888837,,0.0,0.0,5.870790769086244,0.0,0
22,2,1.0,8.008366735724728,,11.953033433070575,3.9287720981218373,2.0460781690864667,0.0,0
23,2,1.0,0.4189267098200878,,1.2411897087165242,0.40795932876670465,0.0,0.0,0
24,2,1.0,0.3000288207152037,,2.0764623713875876,0.6825001764771095,0.0,0.0,0
25,2,1.0,0.6343183848379894,,1.8999824003854102,0.6244940151262671,1.780291989086244,0.0,0
26,2,1.0,0.3052901723565766,,8.23746299779387,2.707523154373874,0.6520041590864687,0.0,0
27,3,,0.0,,0.0,0.0,0.0,0.0,0
28,2,1.0,19.405798174940212,,1.9377586490954355,0.6369104676305359,0.0,0.0,0
29,2,1.0,6.856046032885197,,14.643020791968063,4.812928186123512,0.7138123781724875,0.0,0
30,2,1.0,0.22844937484935512,,3.2175023290393185,1.0575418739311968,0.0,0.0,0
31,3,,0.0,,1.408100792230909,0.4628203488960647,0.0,0.0,0
32,3,,0.0,,14.14223272587453,4.648327108735305,0.3776123090862438,0.0,0
33,2,1.0,0.25357742915716364,,2.54248531003574,0.8356745090595018,0.0,0.0,0
34,3,,0.0,,3.720232593562939,1.222781321072476,5.7989650290862444,0.0,0
35,2,,0.0,,0.0,0.0,0.0,0.0,0
36,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
37,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
38,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
39,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
40,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
41,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
42,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
43,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
44,2,1.0,0.0,,0.0,0.0,0.0,0.0,1
0,1,1.0,0.0,,0.0,0.0,0.0,0.0,1
1,3,,0.0,,0.0,0.0,0.0,0.0,0
2,2,1.0,0.11534048891414,,1.8208132200708358,0.5984723639368271,0.0,0.0,0
3,2,1.0,7.1666485641139e-10,,2.2826795076146524,0.7502804713704501,2.9784922698892076,0.0,0
4,3,,0.0,,1.5171600476844056,0.49866639268627033,0.0,0.0,0
5,3,,0.0,,0.6362136972265133,0.20911332977543273,3.6476734397784156,0.0,0
6,2,1.0,0.36886073587868123,,2.8465917350582983,0.9356294572471843,4.4610085197784155,0.0,0
7,3,,0.0,,0.0,0.0,0.0,0.0,0
8,2,1.0,0.6188409998920352,,0.9364781759516865,0.30780549128221407,0.6618238498892077,0.0,0
9,2,1.0,0.4799999998742072,,1.3553291029836485,0.44547513343705186,2.516931759889208,0.0,0
10,2,1.0,0.3536771680009997,,4.413563892846659,1.4506682987700443,1.799811479888839,0.0,0
11,2,1.0,5.212436709169512,,2.0137021255362795,0.6618718812286669,0.10772573988920772,0.0,0
12,2,1.0,5.328905524269885,,2.8138002141042717,0.9248514055249563,2.177933189778415,0.0,0
13,2,1.0,0.11064741198333206,,1.161663567328486,0.3818203501462495,1.2732419698892077,0.0,0
14,2,1.0,0.11996703132389336,,1.5488849464404293,0.509093862645784,0.0,0.0,0
15,2,1.0,0.44677919543942884,,2.3650603366944027,0.7773577404604207,1.167088359889208,0.0,0
16,2,1.0,0.2499999998892077,,3.1290108554016585,1.0284561331026436,0.0,0.0,0
17,3,,0.0,,8.304292747163371,2.729489030744716,0.2874138698892077,0.0,0
18,2,1.0,0.24560561573619755,,0.0,0.0,0.0,0.0,0
19,3,,0.0,,2.4902161649206174,0.8184944718688735,0.0,0.0,0
