Time,Hour,Value,Load
0.0,0.0,1.0,1539.7378177645987
1.0,1.0,1.0,1464.3020791968063
2.0,2.0,1.0,1368.245093553052
3.0,3.0,1.0,1297.1665115635235
4.0,4.0,1.0,1285.4541148305043
5.0,5.0,1.0,1293.820342235012
6.0,6.0,1.0,1320.5444029027062
7.0,7.0,1.0,1353.4346607511368
8.0,8.0,1.0,1392.970624034533
9.0,9.0,1.0,1428.4656024467397
10.0,10.0,1.0,1540.0231797097583
11.0,11.0,1.0,1619.6905919428143
12.0,12.0,1.0,1609.654081414664
13.0,13.0,1.0,1612.3757837229098
14.0,14.0,1.0,1595.746167274344
15.0,15.0,1.0,1590.7165963559664
16.0,16.0,1.0,1638.0256427258153
17.0,17.0,1.0,1823.39721188306
18.0,18.0,1.0,1870.0209013243248
19.0,19.0,1.0,1860.864761231836
20.0,20.0,1.0,1858.632857218931
21.0,21.0,1.0,1771.3666390594606
22.0,22.0,1.0,1691.815619622652
23.0,23.0,1.0,1619.120683671465
24.0,0.0,0.0,1397.0208268271265
25.0,1.0,0.0,1348.7004542017112
26.0,2.0,0.0,1318.1962964074469
27.0,3.0,0.0,1301.5603733731073
28.0,4.0,0.0,1299.2506494633146
29.0,5.0,0.0,1351.7363006327837
30.0,6.0,0.0,1527.8371294558538
31.0,7.0,0.0,2051.298055526924
32.0,8.0,0.0,2658.41732105147
33.0,9.0,0.0,2850.395176250205
34.0,10.0,0.0,2910.345906167074
35.0,11.0,0.0,2938.006578794188
36.0,12.0,0.0,2799.9285948655456
37.0,13.0,0.0,2825.653675553961
38.0,14.0,0.0,2812.755891882452
39.0,15.0,0.0,2770.452996838357
40.0,16.0,0.0,2619.762398106073
41.0,17.0,0.0,2384.341971577789
42.0,18.0,0.0,2254.7498427988658
43.0,19.0,0.0,2234.210025357981
44.0,20.0,0.0,2149.8428143032097
45.0,21.0,0.0,1998.120786796174
46.0,22.0,0.0,1789.2204328331784
47.0,23.0,0.0,1611.5699715981611
48.0,0.0,0.0,1448.2125467312587
49.0,1.0,0.0,1380.0460922872212
50.0,2.0,0.0,1351.092637741523
51.0,3.0,0.0,1334.261061678655
52.0,4.0,0.0,1345.57458687456
53.0,5.0,0.0,1396.3370975055575
54.0,6.0,0.0,1577.312858755816
55.0,7.0,0.0,2119.627884209829
56.0,8.0,0.0,2748.5222533760166
57.0,9.0,0.0,2899.375495428979
58.0,10.0,0.0,2949.741305780111
59.0,11.0,0.0,2967.031712327074
60.0,12.0,0.0,2821.8506245068857
61.0,13.0,0.0,2863.684082790905
62.0,14.0,0.0,2854.850079120811
63.0,15.0,0.0,2789.3217316910186
64.0,16.0,0.0,2594.105499498772
65.0,17.0,0.0,2353.343852804244
66.0,18.0,0.0,2231.8007449199044
67.0,19.0,0.0,2187.6682594380954
68.0,20.0,0.0,2066.38589316689
69.0,21.0,0.0,1921.586421481308
70.0,22.0,0.0,1755.7978717441604
71.0,23.0,0.0,1612.8963953507846
72.0,0.0,0.0,1435.783622106012
73.0,1.0,0.0,1377.685252778012
74.0,2.0,0.0,1347.4543663877855
75.0,3.0,0.0,1352.9608008820874
76.0,4.0,0.0,1384.5781632951248
77.0,5.0,0.0,1441.1498546717453
78.0,6.0,0.0,1658.2251732177203
79.0,7.0,0.0,2197.9011981018275
80.0,8.0,0.0,2810.683761665034
81.0,9.0,0.0,2985.2248578707704
82.0,10.0,0.0,3024.339236258997
83.0,11.0,0.0,3057.196533350544
84.0,12.0,0.0,2956.1873965646955
85.0,13.0,0.0,3024.948333441564
86.0,14.0,0.0,3092.880431533036
87.0,15.0,0.0,3035.114405886185
88.0,16.0,0.0,2875.86547686392
89.0,17.0,0.0,2625.591556451335
90.0,18.0,0.0,2465.5060837170327
91.0,19.0,0.0,2424.346478995015
92.0,20.0,0.0,2322.460254324075
93.0,21.0,0.0,2174.50044758672
94.0,22.0,0.0,1965.637711240555
95.0,23.0,0.0,1804.4376867370097
96.0,0.0,0.0,1619.6842137808037
97.0,1.0,0.0,1552.2380409713128
98.0,2.0,0.0,1522.2353501839166
99.0,3.0,0.0,1513.2369886625015
100.0,4.0,0.0,1502.5126662969164
101.0,5.0,0.0,1518.2366629992723
102.0,6.0,0.0,1678.2307438039456
103.0,7.0,0.0,2163.3695789693925
104.0,8.0,0.0,2755.791443582656
105.0,9.0,0.0,2905.2543586913343
106.0,10.0,0.0,2934.133402155241
107.0,11.0,0.0,2955.409437535354
108.0,12.0,0.0,2827.0216923895805
109.0,13.0,0.0,2823.57424450794
110.0,14.0,0.0,2781.927198322166
111.0,15.0,0.0,2634.957427806637
112.0,16.0,0.0,2501.37233028992
113.0,17.0,0.0,2368.064514478523
114.0,18.0,0.0,2224.747564907976
115.0,19.0,0.0,2158.8236960052977
116.0,20.0,0.0,2063.033889574658
117.0,21.0,0.0,1906.1120968486248
118.0,22.0,0.0,1761.2815971438745
119.0,23.0,0.0,1614.4917358560458
120.0,0.0,1.0,1440.3760196244468
121.0,1.0,1.0,1354.2639536037675
122.0,2.0,1.0,1305.7243632002203
123.0,3.0,1.0,1313.9190477416737
124.0,4.0,1.0,1347.6299695089
125.0,5.0,1.0,1378.573389196879
126.0,6.0,1.0,1420.9780611447595
127.0,7.0,1.0,1545.4776040125837
128.0,8.0,1.0,1739.5427587239428
129.0,9.0,1.0,1907.906631061075
130.0,10.0,1.0,2014.721220199772
131.0,11.0,1.0,2023.1288161570176
132.0,12.0,1.0,1985.15343165832
133.0,13.0,1.0,1951.152185303152
134.0,14.0,1.0,1916.602337214059
135.0,15.0,1.0,1898.069934028512
136.0,16.0,1.0,1945.8792580530203
137.0,17.0,1.0,2017.4985372323777
138.0,18.0,1.0,1976.230657777492
139.0,19.0,1.0,1956.6612257883608
140.0,20.0,1.0,1898.1510111896828
141.0,21.0,1.0,1801.6933257829112
142.0,22.0,1.0,1705.9829333515372
143.0,23.0,1.0,1608.7619492652746
144.0,0.0,1.0,1452.7246350412024
145.0,1.0,1.0,1378.876050587957
146.0,2.0,1.0,1316.7709855056175
147.0,3.0,1.0,1310.1809901240897
148.0,4.0,1.0,1317.0760908942216
149.0,5.0,1.0,1327.4877979607477
150.0,6.0,1.0,1349.3336981650082
151.0,7.0,1.0,1407.458627469722
152.0,8.0,1.0,1484.016018641684
153.0,9.0,1.0,1568.9067707364377
154.0,10.0,1.0,1644.0297052808714
155.0,11.0,1.0,1703.7522073508146
156.0,12.0,1.0,1728.7054501020982
157.0,13.0,1.0,1722.2153738349098
158.0,14.0,1.0,1700.9796697563252
159.0,15.0,1.0,1689.939377960495
160.0,16.0,1.0,1725.5887598691738
161.0,17.0,1.0,1903.9933818193435
162.0,18.0,1.0,1942.152411320645
163.0,19.0,1.0,1904.428043757571
164.0,20.0,1.0,1843.7066679857985
165.0,21.0,1.0,1782.7748297463286
166.0,22.0,1.0,1668.7093306637844
167.0,23.0,1.0,1512.245564087465
168.0,0.0,0.0,1395.6093776467874
169.0,1.0,0.0,1353.526277419957
170.0,2.0,0.0,1307.324807032844
171.0,3.0,0.0,1305.7965049599195
172.0,4.0,0.0,1329.284470931617
173.0,5.0,0.0,1390.2076191042931
174.0,6.0,0.0,1594.1117459614768
175.0,7.0,0.0,2127.718606809904
176.0,8.0,0.0,2737.6931598190727
177.0,9.0,0.0,2916.149861927827
178.0,10.0,0.0,2936.791804116129
179.0,11.0,0.0,2974.795051173261
180.0,12.0,0.0,2847.713198239035
181.0,13.0,0.0,2861.140650790243
182.0,14.0,0.0,2847.9617365159784
183.0,15.0,0.0,2776.2175860532616
184.0,16.0,0.0,2565.497575216769
185.0,17.0,0.0,2339.612850820184
186.0,18.0,0.0,2235.486563531108
187.0,19.0,0.0,2225.1044518165254
188.0,20.0,0.0,2104.354605790661
189.0,21.0,0.0,1930.830306843476
190.0,22.0,0.0,1724.610995171876
191.0,23.0,0.0,1552.5303049011045
192.0,0.0,0.0,1381.5684745615033
193.0,1.0,0.0,1333.339420767522
194.0,2.0,0.0,1302.944479436126
195.0,3.0,0.0,1299.2800814718053
196.0,4.0,0.0,1308.941328247748
197.0,5.0,0.0,1368.653156180123
198.0,6.0,0.0,1573.372997079098
199.0,7.0,0.0,2156.664111193224
200.0,8.0,0.0,2793.7978810963928
201.0,9.0,0.0,2966.180018365072
202.0,10.0,0.0,3014.4141207261105
203.0,11.0,0.0,3041.9656641989604
204.0,12.0,0.0,2892.1276168617524
205.0,13.0,0.0,2927.823373328715
206.0,14.0,0.0,2913.547963644319
207.0,15.0,0.0,2834.651495314564
208.0,16.0,0.0,2624.6892006223547
209.0,17.0,0.0,2363.943368459807
210.0,18.0,0.0,2245.59822637228
211.0,19.0,0.0,2227.723531701376
212.0,20.0,0.0,2145.863500626492
213.0,21.0,0.0,1977.688476153645
214.0,22.0,0.0,1734.056713629083
215.0,23.0,0.0,1559.6300664897833
216.0,0.0,0.0,1393.1956680727114
217.0,1.0,0.0,1326.317320844391
218.0,2.0,0.0,1290.7082066515418
219.0,3.0,0.0,1279.0799071643908
220.0,4.0,0.0,1297.9809316874469
221.0,5.0,0.0,1351.9894836741992
222.0,6.0,0.0,1555.3303903344386
223.0,7.0,0.0,2144.848342882678
224.0,8.0,0.0,2803.412483268828
225.0,9.0,0.0,2954.4432501346764
226.0,10.0,0.0,3006.009685988677
227.0,11.0,0.0,3026.5418349027905
228.0,12.0,0.0,2892.6760126368667
229.0,13.0,0.0,2963.694055865169
230.0,14.0,0.0,2969.1864528679243
231.0,15.0,0.0,2890.324676832396
232.0,16.0,0.0,2659.6986731586585
233.0,17.0,0.0,2405.437538327357
234.0,18.0,0.0,2295.514489704188
235.0,19.0,0.0,2252.138633756963
236.0,20.0,0.0,2134.7431317566256
237.0,21.0,0.0,1982.348914984176
238.0,22.0,0.0,1792.8345029770096
239.0,23.0,0.0,1647.3008810765205
240.0,0.0,0.0,1480.0275428388989
241.0,1.0,0.0,1408.4538239277483
242.0,2.0,0.0,1374.722191842087
243.0,3.0,0.0,1373.4068613121062
244.0,4.0,0.0,1393.7258968108797
245.0,5.0,0.0,1449.0434455603863
246.0,6.0,0.0,1690.2619661720598
247.0,7.0,0.0,2272.768807253261
248.0,8.0,0.0,2915.7694318921467
249.0,9.0,0.0,3093.011564079336
250.0,10.0,0.0,3146.454725298997
251.0,11.0,0.0,3182.3551462934124
252.0,12.0,0.0,3063.854543814676
253.0,13.0,0.0,3123.260327331546
254.0,14.0,0.0,3164.139691744432
255.0,15.0,0.0,3090.8973991732614
256.0,16.0,0.0,2874.393018558072
257.0,17.0,0.0,2603.814071352712
258.0,18.0,0.0,2463.461284310448
259.0,19.0,0.0,2413.033353491015
260.0,20.0,0.0,2310.192898786943
261.0,21.0,0.0,2136.852075538154
262.0,22.0,0.0,1905.903639993404
263.0,23.0,0.0,1743.4706833098962
264.0,0.0,0.0,1580.722398545124
265.0,1.0,0.0,1515.407858392483
266.0,2.0,0.0,1490.1992561496525
267.0,3.0,0.0,1478.508925411105
268.0,4.0,0.0,1478.1412697812368
269.0,5.0,0.0,1507.679753535065
270.0,6.0,0.0,1697.552593701153
271.0,7.0,0.0,2242.605086185109
272.0,8.0,0.0,2870.014357394052
273.0,9.0,0.0,3023.89703509275
274.0,10.0,0.0,3052.238655499524
275.0,11.0,0.0,3071.5060871025053
276.0,12.0,0.0,2925.9139649195617
277.0,13.0,0.0,2918.5781952779207
278.0,14.0,0.0,2876.4515444535623
279.0,15.0,0.0,2729.801198757996
280.0,16.0,0.0,2554.416082992637
281.0,17.0,0.0,2414.2160072359
282.0,18.0,0.0,2289.3198237742404
283.0,19.0,0.0,2241.51634904558
284.0,20.0,0.0,2158.3156033175264
285.0,21.0,0.0,2007.819733520059
286.0,22.0,0.0,1860.193655801007
287.0,23.0,0.0,1715.2864472918009
288.0,0.0,1.0,1532.7252184544654
289.0,1.0,1.0,1443.9574438080883
290.0,2.0,1.0,1393.1940705430884
291.0,3.0,1.0,1388.0732524445411
292.0,4.0,1.0,1399.6556772517677
293.0,5.0,1.0,1419.0320148426144
294.0,6.0,1.0,1466.4089214290805
295.0,7.0,1.0,1606.644797659735
296.0,8.0,1.0,1813.0870191868105
297.0,9.0,1.0,1965.5182946739608
298.0,10.0,1.0,2057.1532954583945
299.0,11.0,1.0,2080.628037799924
300.0,12.0,1.0,2037.1273633369049
301.0,13.0,1.0,1999.953554647436
302.0,14.0,1.0,1961.7708615368888
303.0,15.0,1.0,1934.0827361641527
304.0,16.0,1.0,1968.9858496986053
305.0,17.0,1.0,2050.997174852623
306.0,18.0,1.0,2029.2415332029068
307.0,19.0,1.0,2008.6113817271912
308.0,20.0,1.0,1949.1457583422489
309.0,21.0,1.0,1857.997533047194
310.0,22.0,1.0,1774.4918544429338
311.0,23.0,1.0,1687.2760043866897
312.0,0.0,1.0,1522.469538751221
313.0,1.0,1.0,1444.3040292591083
314.0,2.0,1.0,1384.7594198741838
315.0,3.0,1.0,1370.7203124126556
316.0,4.0,1.0,1369.8467878213726
317.0,5.0,1.0,1376.5631827736345
318.0,6.0,1.0,1386.1421621293289
319.0,7.0,1.0,1449.3884338354576
320.0,8.0,1.0,1512.8646476331182
321.0,9.0,1.0,1615.0170425464191
322.0,10.0,1.0,1703.118880373683
323.0,11.0,1.0,1750.232896823664
324.0,12.0,1.0,1784.8731256692492
325.0,13.0,1.0,1783.8729504577775
326.0,14.0,1.0,1756.998992447721
327.0,15.0,1.0,1710.8134703675707
328.0,16.0,1.0,1719.617628056212
329.0,17.0,1.0,1879.124239772476
330.0,18.0,1.0,1909.814731123551
331.0,19.0,1.0,1880.0780774507407
332.0,20.0,1.0,1816.2112018715345
333.0,21.0,1.0,1743.809208032064
334.0,22.0,1.0,1633.6225292566332
335.0,23.0,1.0,1483.4986860374838
336.0,0.0,0.0,1358.1258329382592
337.0,1.0,0.0,1320.9635976399948
338.0,2.0,0.0,1275.9259678614478
339.0,3.0,0.0,1282.8087768113912
340.0,4.0,0.0,1323.6582763816734
341.0,5.0,0.0,1383.0920271572552
342.0,6.0,0.0,1615.0304675058348
343.0,7.0,0.0,2221.011789002753
344.0,8.0,0.0,2905.0961500161666
345.0,9.0,0.0,3098.005990024959
346.0,10.0,0.0,3146.8268817161293
347.0,11.0,0.0,3194.23380320328
348.0,12.0,0.0,3037.876363233299
349.0,13.0,0.0,3071.0325745202244
350.0,14.0,0.0,3057.459214135941
