Time,Hour,Value,Load
0.0,0.0,1.0,287.11742974574975
1.0,1.0,1.0,254.248531003574
2.0,2.0,1.0,221.74240822724863
3.0,3.0,1.0,195.28401542767264
4.0,4.0,1.0,187.01899691152383
5.0,5.0,1.0,186.6378677188565
6.0,6.0,1.0,196.1478884281702
7.0,7.0,1.0,206.46399490930764
8.0,8.0,1.0,225.4933181416073
9.0,9.0,1.0,243.82965047013712
10.0,10.0,1.0,278.0069412426386
11.0,11.0,1.0,302.2977356850378
12.0,12.0,1.0,303.3576663228364
13.0,13.0,1.0,305.274110677311
14.0,14.0,1.0,300.67062905906107
15.0,15.0,1.0,297.8673171337101
16.0,16.0,1.0,307.98293416106145
17.0,17.0,1.0,367.1814667243125
18.0,18.0,1.0,378.2637491469358
19.0,19.0,1.0,372.3653359288811
20.0,20.0,1.0,368.1789705367779
21.0,21.0,1.0,329.38938255287195
22.0,22.0,1.0,305.2486347707363
23.0,23.0,1.0,271.0578774535554
24.0,0.0,0.0,213.3721325757021
25.0,1.0,0.0,191.06485415047723
26.0,2.0,0.0,184.02377452147743
27.0,3.0,0.0,181.5269373399769
28.0,4.0,0.0,182.59886511135392
29.0,5.0,0.0,191.22470823961265
30.0,6.0,0.0,217.64199159295904
31.0,7.0,0.0,256.1978184095055
32.0,8.0,0.0,276.9947572943831
33.0,9.0,0.0,290.4598076637597
34.0,10.0,0.0,289.560454902507
35.0,11.0,0.0,286.78529402488164
36.0,12.0,0.0,286.726054854131
37.0,13.0,0.0,283.8654620993795
38.0,14.0,0.0,279.7260977731287
39.0,15.0,0.0,284.6994553272556
40.0,16.0,0.0,312.2310017176361
41.0,17.0,0.0,366.6358517069112
42.0,18.0,0.0,388.6283304722828
43.0,19.0,0.0,391.6472956767519
44.0,20.0,0.0,374.4477564820194
45.0,21.0,0.0,346.7815734687344
46.0,22.0,0.0,306.4451638665942
47.0,23.0,0.0,257.80481950058714
48.0,0.0,0.0,214.79704198582564
49.0,1.0,0.0,190.95665644597528
50.0,2.0,0.0,184.29646678522545
51.0,3.0,0.0,181.3423660697253
52.0,4.0,0.0,181.86792708585213
53.0,5.0,0.0,188.8240725024868
54.0,6.0,0.0,211.8630380707088
55.0,7.0,0.0,251.756386699256
56.0,8.0,0.0,284.6735114532606
57.0,9.0,0.0,292.5882400673866
58.0,10.0,0.0,295.63339972513376
59.0,11.0,0.0,292.094009892507
60.0,12.0,0.0,295.9102522632552
61.0,13.0,0.0,291.0896418406276
62.0,14.0,0.0,294.6304984640016
63.0,15.0,0.0,295.58982379137865
64.0,16.0,0.0,326.0852626040096
65.0,17.0,0.0,380.7782262492572
66.0,18.0,0.0,402.026794615404
67.0,19.0,0.0,398.1469013467975
68.0,20.0,0.0,370.9338215931386
69.0,21.0,0.0,342.4263026637288
70.0,22.0,0.0,310.47143245133987
71.0,23.0,0.0,266.68841631645984
72.0,0.0,0.0,219.32513226608012
73.0,1.0,0.0,195.19442851688007
74.0,2.0,0.0,186.9959918597307
75.0,3.0,0.0,183.09456207698088
76.0,4.0,0.0,183.48108347760763
77.0,5.0,0.0,189.87470560449145
78.0,6.0,0.0,216.9739684495883
79.0,7.0,0.0,255.2970032247615
80.0,8.0,0.0,280.64724286851487
81.0,9.0,0.0,296.5207605935151
82.0,10.0,0.0,295.6184698835118
83.0,11.0,0.0,295.06476044001295
84.0,12.0,0.0,300.3644179962616
85.0,13.0,0.0,294.904666253009
86.0,14.0,0.0,294.72890882900936
87.0,15.0,0.0,296.80055108038727
88.0,16.0,0.0,324.3783625208929
89.0,17.0,0.0,379.60178521927054
90.0,18.0,0.0,392.3988080780204
91.0,19.0,0.0,391.73959004638976
92.0,20.0,0.0,368.07446426577786
93.0,21.0,0.0,340.1284863983647
94.0,22.0,0.0,308.4277028967215
95.0,23.0,0.0,265.7484343047148
96.0,0.0,0.0,221.63740254458503
97.0,1.0,0.0,196.84797406125944
98.0,2.0,0.0,186.27509437335976
99.0,3.0,0.0,183.4930797377349
