Time,Hour,Value,Load
0.0,0.0,1.0,1293.599362394168
1.0,1.0,1.0,1195.3033433070575
2.0,2.0,1.0,1084.643064884483
3.0,3.0,1.0,999.1511043170658
4.0,4.0,1.0,978.6264176068275
5.0,5.0,1.0,981.425063860126
6.0,6.0,1.0,1009.7420641961944
7.0,7.0,1.0,1043.4399620125398
8.0,8.0,1.0,1097.9479538960804
9.0,9.0,1.0,1147.6525910130892
10.0,10.0,1.0,1270.309567835387
11.0,11.0,1.0,1358.1818636341611
12.0,12.0,1.0,1353.9343923480164
13.0,13.0,1.0,1358.7238948734423
14.0,14.0,1.0,1341.1417487375188
15.0,15.0,1.0,1333.8271569122164
16.0,16.0,1.0,1378.8346677301315
17.0,17.0,1.0,1586.799975047587
18.0,18.0,1.0,1633.5779791032508
19.0,19.0,1.0,1619.7561912442802
20.0,20.0,1.0,1612.5723441555313
21.0,21.0,1.0,1498.858299886799
22.0,22.0,1.0,1413.9963572372112
23.0,23.0,1.0,1316.5687528424407
24.0,0.0,0.0,1088.634304949615
25.0,1.0,0.0,1023.5629540838064
26.0,2.0,0.0,993.482659580113
27.0,3.0,0.0,979.3315674993468
28.0,4.0,0.0,979.097530456296
29.0,5.0,0.0,1023.247981717088
30.0,6.0,0.0,1169.2612262266082
31.0,7.0,0.0,1550.6787643281284
32.0,8.0,0.0,1960.867269985843
33.0,9.0,0.0,2101.176341550179
34.0,10.0,0.0,2137.742775662273
35.0,11.0,0.0,2150.695462779852
36.0,12.0,0.0,2064.745359166856
37.0,13.0,0.0,2076.6478069686345
38.0,14.0,0.0,2062.3143940074856
39.0,15.0,0.0,2043.3136715522048
40.0,16.0,0.0,1991.2489946663625
41.0,17.0,0.0,1929.7963890524009
42.0,18.0,0.0,1884.317636305384
43.0,19.0,0.0,1877.6235237868432
44.0,20.0,0.0,1799.8941316258508
45.0,21.0,0.0,1664.4151972571058
46.0,22.0,0.0,1474.6906084087775
47.0,23.0,0.0,1289.5127213143603
48.0,0.0,0.0,1123.1075261734318
49.0,1.0,0.0,1043.3885609688955
50.0,2.0,0.0,1014.8831791011256
51.0,3.0,0.0,999.7955044529724
52.0,4.0,0.0,1007.2294333176916
53.0,5.0,0.0,1047.4634660739005
54.0,6.0,0.0,1191.1176522780718
55.0,7.0,0.0,1586.1784629448175
56.0,8.0,0.0,2028.4289024835584
57.0,9.0,0.0,2134.5611392830515
58.0,10.0,0.0,2171.38387819884
59.0,11.0,0.0,2177.024085662273
60.0,12.0,0.0,2092.9898898395923
61.0,13.0,0.0,2112.1098014578
62.0,14.0,0.0,2112.3679060264603
63.0,15.0,0.0,2072.5746777434088
64.0,16.0,0.0,1997.328207206103
65.0,17.0,0.0,1933.559748862656
66.0,18.0,0.0,1891.8992996098305
67.0,19.0,0.0,1859.856419368332
68.0,20.0,0.0,1743.7851814472338
69.0,21.0,0.0,1611.2455851768336
70.0,22.0,0.0,1461.19778269042
71.0,23.0,0.0,1304.788614397028
72.0,0.0,0.0,1121.385614728096
73.0,1.0,0.0,1047.3977820760958
74.0,2.0,0.0,1015.5888189969384
75.0,3.0,0.0,1012.8715630091684
76.0,4.0,0.0,1032.7608760257344
77.0,5.0,0.0,1075.9420887926412
78.0,6.0,0.0,1248.4382296388508
79.0,7.0,0.0,1639.180049036937
80.0,8.0,0.0,2059.825012701916
81.0,9.0,0.0,2193.3702123382222
82.0,10.0,0.0,2217.11185735732
83.0,11.0,0.0,2236.442572247005
84.0,12.0,0.0,2182.12610664509
85.0,13.0,0.0,2217.038240737184
86.0,14.0,0.0,2258.9835969697965
87.0,15.0,0.0,2225.571153171971
88.0,16.0,0.0,2168.204323100397
89.0,17.0,0.0,2098.1649590862653
90.0,18.0,0.0,2018.518009834036
91.0,19.0,0.0,1993.192960267648
92.0,20.0,0.0,1895.4636501621835
93.0,21.0,0.0,1762.622868030881
94.0,22.0,0.0,1587.16145728611
95.0,23.0,0.0,1421.4696045043047
96.0,0.0,0.0,1238.4128918912963
97.0,1.0,0.0,1157.711607112415
98.0,2.0,0.0,1122.3873962928749
99.0,3.0,0.0,1112.3936388030663
100.0,4.0,0.0,1107.0605131609047
101.0,5.0,0.0,1125.093252204118
102.0,6.0,0.0,1257.7298186261278
103.0,7.0,0.0,1614.0940366969498
104.0,8.0,0.0,2031.754964184733
105.0,9.0,0.0,2156.337094666265
106.0,10.0,0.0,2173.471611718865
107.0,11.0,0.0,2188.1365185844734
108.0,12.0,0.0,2115.999850539631
109.0,13.0,0.0,2103.556267618605
110.0,14.0,0.0,2076.020341033762
111.0,15.0,0.0,1983.4304234744047
112.0,16.0,0.0,1945.1420150364563
113.0,17.0,0.0,1945.742965820916
114.0,18.0,0.0,1877.1871018112608
115.0,19.0,0.0,1830.162717521669
116.0,20.0,0.0,1743.5792708044942
117.0,21.0,0.0,1597.4922522916595
118.0,22.0,0.0,1475.0386367166968
119.0,23.0,0.0,1323.7952425769308
120.0,0.0,1.0,1138.5825617241426
121.0,1.0,1.0,1039.144901674611
122.0,2.0,1.0,991.4912507569256
123.0,3.0,1.0,991.4312586952703
124.0,4.0,1.0,1010.2692144384577
125.0,5.0,1.0,1033.2313605123686
126.0,6.0,1.0,1074.4045134352375
127.0,7.0,1.0,1188.927719727362
128.0,8.0,1.0,1371.0003203743663
129.0,9.0,1.0,1526.0433676462133
130.0,10.0,1.0,1623.9101946020132
131.0,11.0,1.0,1631.5999489994688
132.0,12.0,1.0,1604.3064542236689
133.0,13.0,1.0,1583.2480821951065
134.0,14.0,1.0,1551.8282642396766
135.0,15.0,1.0,1539.1324547460513
136.0,16.0,1.0,1598.18769287523
137.0,17.0,1.0,1719.5262750383536
138.0,18.0,1.0,1708.1240305958722
139.0,19.0,1.0,1697.9704474319062
140.0,20.0,1.0,1631.4732161183144
141.0,21.0,1.0,1531.6266384293228
142.0,22.0,1.0,1435.732641247752
143.0,23.0,1.0,1320.609105251939
144.0,0.0,1.0,1153.1666588306275
145.0,1.0,1.0,1059.5428951291724
146.0,2.0,1.0,998.4069610364062
147.0,3.0,1.0,987.0036980409892
148.0,4.0,1.0,989.741005840866
149.0,5.0,1.0,998.1112745964324
150.0,6.0,1.0,1020.0829738604244
151.0,7.0,1.0,1081.4367484027314
152.0,8.0,1.0,1178.8402201821953
153.0,9.0,1.0,1285.274816216859
154.0,10.0,1.0,1372.2506756889657
155.0,11.0,1.0,1434.9401855461613
156.0,12.0,1.0,1453.874042656093
157.0,13.0,1.0,1444.468744121442
158.0,14.0,1.0,1421.871449491251
159.0,15.0,1.0,1404.496103163604
160.0,16.0,1.0,1450.3284953651355
161.0,17.0,1.0,1644.623076093549
162.0,18.0,1.0,1693.9466459377486
163.0,19.0,1.0,1659.4498593005867
164.0,20.0,1.0,1592.5148497596842
165.0,21.0,1.0,1519.985228310952
166.0,22.0,1.0,1396.4812268650578
167.0,23.0,1.0,1217.9972013464408
168.0,0.0,0.0,1086.697362672789
169.0,1.0,0.0,1027.4725734571723
170.0,2.0,0.0,984.2751184995936
171.0,3.0,0.0,978.544531588636
172.0,4.0,0.0,995.624335252466
173.0,5.0,0.0,1046.1936545182368
174.0,6.0,0.0,1211.904283297306
175.0,7.0,0.0,1606.06250464189
176.0,8.0,0.0,2027.636851814392
177.0,9.0,0.0,2167.929391592997
178.0,10.0,0.0,2180.8099540891667
179.0,11.0,0.0,2203.850496541014
180.0,12.0,0.0,2127.421021185856
181.0,13.0,0.0,2114.013644758716
182.0,14.0,0.0,2097.5481445950218
183.0,15.0,0.0,2056.687829521014
184.0,16.0,0.0,1966.0260118942824
185.0,17.0,0.0,1913.4905646641505
186.0,18.0,0.0,1881.687279415048
187.0,19.0,0.0,1884.5560245567367
188.0,20.0,0.0,1772.8327493402553
189.0,21.0,0.0,1615.2478064773657
190.0,22.0,0.0,1434.4621577645776
191.0,23.0,0.0,1253.5729218395857
192.0,0.0,0.0,1077.2107001789173
193.0,1.0,0.0,1011.9400820571854
194.0,2.0,0.0,982.0327871816448
195.0,3.0,0.0,975.991833015147
196.0,4.0,0.0,984.3070030284024
197.0,5.0,0.0,1032.5055102058836
198.0,6.0,0.0,1197.615170080123
199.0,7.0,0.0,1619.0841897924774
200.0,8.0,0.0,2046.90394562892
201.0,9.0,0.0,2171.742980030452
202.0,10.0,0.0,2198.890009614898
203.0,11.0,0.0,2212.8664553887834
204.0,12.0,0.0,2120.9213914798647
205.0,13.0,0.0,2138.203804183299
206.0,14.0,0.0,2124.9942188597283
207.0,15.0,0.0,2080.635520345213
208.0,16.0,0.0,1988.148808896444
209.0,17.0,0.0,1909.1893504987888
210.0,18.0,0.0,1872.077617047312
211.0,19.0,0.0,1865.7798652345027
212.0,20.0,0.0,1790.3179797879025
213.0,21.0,0.0,1645.5847897057783
214.0,22.0,0.0,1437.9780746534966
215.0,23.0,0.0,1254.9890613011178
216.0,0.0,0.0,1083.3163775317769
217.0,1.0,0.0,1006.6967772492786
218.0,2.0,0.0,974.8262208553936
219.0,3.0,0.0,963.6014598492786
220.0,4.0,0.0,976.0392462801128
221.0,5.0,0.0,1018.7110933468964
222.0,6.0,0.0,1180.5894694167996
223.0,7.0,0.0,1610.6954589387028
224.0,8.0,0.0,2065.638502448907
225.0,9.0,0.0,2169.458384510822
226.0,10.0,0.0,2202.989484014762
227.0,11.0,0.0,2205.106305124312
228.0,12.0,0.0,2128.175716405324
229.0,13.0,0.0,2173.4086975214937
230.0,14.0,0.0,2180.0217535040383
231.0,15.0,0.0,2128.361466904681
232.0,16.0,0.0,2021.7004618204944
233.0,17.0,0.0,1954.4318298842345
234.0,18.0,0.0,1926.295464507792
235.0,19.0,0.0,1893.1752745804847
236.0,20.0,0.0,1778.7132779595402
237.0,21.0,0.0,1639.2387514449863
238.0,22.0,0.0,1474.116717484305
239.0,23.0,0.0,1316.9076029933344
240.0,0.0,0.0,1144.4967872305172
241.0,1.0,0.0,1062.1722784284025
242.0,2.0,0.0,1029.1617287291683
243.0,3.0,0.0,1023.8744191234364
244.0,4.0,0.0,1037.4643136163088
245.0,5.0,0.0,1080.3512969056371
246.0,6.0,0.0,1269.5380303196168
247.0,7.0,0.0,1692.7063296010135
248.0,8.0,0.0,2126.477838059495
249.0,9.0,0.0,2256.276163474146
250.0,10.0,0.0,2288.3352191573204
251.0,11.0,0.0,2308.1675567351585
252.0,12.0,0.0,2241.056601590822
253.0,13.0,0.0,2268.9944628229155
254.0,14.0,0.0,2296.182371025337
255.0,15.0,0.0,2254.837895701014
256.0,16.0,0.0,2155.878194258482
257.0,17.0,0.0,2070.9386973675373
258.0,18.0,0.0,2011.791201011844
259.0,19.0,0.0,1978.667489131648
260.0,20.0,0.0,1883.164691710337
261.0,21.0,0.0,1732.5640995349572
262.0,22.0,0.0,1541.824061739995
263.0,23.0,0.0,1374.1001412867265
264.0,0.0,0.0,1208.2874973777944
265.0,1.0,0.0,1130.9121002887982
266.0,2.0,0.0,1099.2009456691812
267.0,3.0,0.0,1088.252427147526
268.0,4.0,0.0,1089.0225835274027
269.0,5.0,0.0,1116.5219856832286
270.0,6.0,0.0,1270.1318310350468
271.0,7.0,0.0,1670.337158658988
272.0,8.0,0.0,2105.4184814402734
273.0,9.0,0.0,2226.169686036073
274.0,10.0,0.0,2242.1925523168265
275.0,11.0,0.0,2253.8593179905884
276.0,12.0,0.0,2169.640291825363
277.0,13.0,0.0,2152.128975704337
278.0,14.0,0.0,2123.303298289304
279.0,15.0,0.0,2035.5272770614097
280.0,16.0,0.0,1966.9454113304648
281.0,17.0,0.0,1957.2360869461884
282.0,18.0,0.0,1902.6885408829544
283.0,19.0,0.0,1866.6114828636307
284.0,20.0,0.0,1791.0484325126474
285.0,21.0,0.0,1654.335224015736
286.0,22.0,0.0,1529.409443668544
287.0,23.0,0.0,1381.3585769075048
288.0,0.0,1.0,1194.2020082984109
289.0,1.0,1.0,1092.5178388211086
290.0,2.0,1.0,1041.8538267250788
291.0,3.0,1.0,1033.9396858634234
292.0,4.0,1.0,1039.345146586611
293.0,5.0,1.0,1054.853669608675
294.0,6.0,1.0,1098.6162220217354
295.0,7.0,1.0,1223.6942591734771
296.0,8.0,1.0,1414.9805935625195
297.0,9.0,1.0,1556.9530508286343
298.0,10.0,1.0,1643.280760720741
299.0,11.0,1.0,1665.643495916158
300.0,12.0,1.0,1636.2643271338604
301.0,13.0,1.0,1614.6153071130682
302.0,14.0,1.0,1579.2191533592938
303.0,15.0,1.0,1556.339266331017
304.0,16.0,1.0,1606.1199611573916
305.0,17.0,1.0,1729.326650671779
306.0,18.0,1.0,1733.1728387216808
307.0,19.0,1.0,1717.875491655523
308.0,20.0,1.0,1650.869545750238
309.0,21.0,1.0,1553.0296662272845
310.0,22.0,1.0,1468.1316934032925
311.0,23.0,1.0,1362.7976182217474
312.0,0.0,1.0,1193.5581149448956
313.0,1.0,1.0,1098.0924709712872
314.0,2.0,1.0,1040.2237206123298
315.0,3.0,1.0,1024.0917587969127
316.0,4.0,1.0,1020.9522979669808
317.0,5.0,1.0,1026.4368133988537
318.0,6.0,1.0,1040.1577990269222
319.0,7.0,1.0,1104.9455479190378
320.0,8.0,1.0,1194.880222146272
321.0,9.0,1.0,1314.058600122591
322.0,10.0,1.0,1413.0460608743144
323.0,11.0,1.0,1463.6187784800468
324.0,12.0,1.0,1491.1697070822083
325.0,13.0,1.0,1483.513150969595
326.0,14.0,1.0,1456.7190429667912
327.0,15.0,1.0,1414.0440938526465
328.0,16.0,1.0,1438.8614619656423
329.0,17.0,1.0,1620.4013902693955
330.0,18.0,1.0,1668.762450214438
331.0,19.0,1.0,1642.8412404449696
332.0,20.0,1.0,1571.8924942759909
