Time,Hour,Value,Load
0.0,0.0,1.0,152.09580804067866
1.0,1.0,1.0,151.84548315670358
2.0,2.0,1.0,151.71600476844057
3.0,3.0,1.0,151.39662474405856
4.0,4.0,1.0,151.79369180139835
5.0,5.0,1.0,154.34010010390372
6.0,6.0,1.0,158.8632118005573
7.0,7.0,1.0,162.99788833242192
8.0,8.0,1.0,162.89430562181155
9.0,9.0,1.0,164.47394195861995
10.0,10.0,1.0,164.99185551167187
11.0,11.0,1.0,164.7156349500442
12.0,12.0,1.0,164.23224896719572
13.0,13.0,1.0,164.1027705789327
14.0,14.0,1.0,164.12003436403447
15.0,15.0,1.0,163.82655001730504
16.0,16.0,1.0,164.2581446448483
17.0,17.0,1.0,164.5861565617812
18.0,18.0,1.0,164.0596111161784
19.0,19.0,1.0,162.48860667192085
20.0,20.0,1.0,161.41825199561353
21.0,21.0,1.0,159.45018049401617
22.0,22.0,1.0,155.93700022581385
23.0,23.0,1.0,153.9602968316656
24.0,0.0,0.0,152.87267837025655
25.0,1.0,0.0,152.91583783301087
26.0,2.0,0.0,152.9848929734178
27.0,3.0,0.0,152.8122551224005
28.0,4.0,0.0,153.47691084881714
29.0,5.0,0.0,156.35996296080629
30.0,6.0,0.0,163.4640105301687
31.0,7.0,0.0,170.56805809953107
32.0,8.0,0.0,171.40535167696504
33.0,9.0,0.0,171.93189712256788
34.0,10.0,0.0,171.05144408237953
35.0,11.0,0.0,170.95649326432007
36.0,12.0,0.0,170.73206405799755
37.0,13.0,0.0,170.23141429004733
38.0,14.0,0.0,169.97245751352136
39.0,15.0,0.0,170.58532188463283
40.0,16.0,0.0,172.4239149979672
41.0,17.0,0.0,172.43254689051807
42.0,18.0,0.0,171.30176896635467
43.0,19.0,0.0,169.37685692751165
44.0,20.0,0.0,166.8995037654132
45.0,21.0,0.0,163.57622513332993
46.0,22.0,0.0,158.54383177617527
47.0,23.0,0.0,156.1959570023398
48.0,0.0,0.0,152.3806604948572
49.0,1.0,0.0,152.25981399914508
50.0,2.0,0.0,152.31160535445028
51.0,3.0,0.0,152.27707778424684
52.0,4.0,0.0,152.88994215535828
53.0,5.0,0.0,156.09237429172944
54.0,6.0,0.0,163.34316403445655
55.0,7.0,0.0,170.72343216544664
56.0,8.0,0.0,172.242645254399
57.0,9.0,0.0,172.57928906388278
58.0,10.0,0.0,171.62978088328754
59.0,11.0,0.0,171.05144408237953
60.0,12.0,0.0,170.44721160381897
61.0,13.0,0.0,169.59265424128327
62.0,14.0,0.0,169.29053800200296
63.0,15.0,0.0,169.95519372841963
64.0,16.0,0.0,171.91463333746609
65.0,17.0,0.0,171.1377630078882
66.0,18.0,0.0,170.05014454647912
67.0,19.0,0.0,167.90943519386448
68.0,20.0,0.0,164.95732794146844
69.0,21.0,0.0,161.71173634234293
70.0,22.0,0.0,157.11093761273156
71.0,23.0,0.0,155.4449823504145
72.0,0.0,0.0,153.88260979870785
73.0,1.0,0.0,153.88260979870785
74.0,2.0,0.0,154.07251143482688
75.0,3.0,0.0,154.1243027901321
76.0,4.0,0.0,154.70263959104005
77.0,5.0,0.0,157.61158738068178
78.0,6.0,0.0,164.87100901595977
79.0,7.0,0.0,172.55339338623017
80.0,8.0,0.0,173.6755394178427
81.0,9.0,0.0,173.74459455824962
82.0,10.0,0.0,172.63971231173883
83.0,11.0,0.0,173.01951558397695
84.0,12.0,0.0,172.58792095643363
85.0,13.0,0.0,171.70746791624535
86.0,14.0,0.0,171.8455781970592
87.0,15.0,0.0,172.78645448510355
88.0,16.0,0.0,174.68547084629398
89.0,17.0,0.0,175.5572919939314
90.0,18.0,0.0,175.50550063862622
91.0,19.0,0.0,173.61511616998663
92.0,20.0,0.0,169.67897316679193
93.0,21.0,0.0,165.32849932115568
94.0,22.0,0.0,159.29480642810057
95.0,23.0,0.0,157.085041935079
96.0,0.0,0.0,155.50540559827056
97.0,1.0,0.0,155.30687206960064
98.0,2.0,0.0,155.41045478021104
99.0,3.0,0.0,155.4536142429654
100.0,4.0,0.0,155.86794508540694
101.0,5.0,0.0,158.84594801545555
102.0,6.0,0.0,166.5110686006242
