p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw
407.007507,57.30582,39.552691,27.962493,11.246889,59.207608,16.653046,22.195038,13.32921,34.344436,48.601342,74.368578,86.339501,46.86725,2.149232,62.693532,43.338862,1.925953,2.663166,0.456002,21.482416,1.141306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369.570228,84.123225,59.29116,43.454536,18.343064,48.019191,18.155195,24.937786,23.284474,28.407355,56.800729,139.599688,141.962554,57.318403,0.901725,50.450566,40.67831,1.23898,1.938805,0.738425,46.822207,3.625777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336.359694,97.548157,72.223407,55.559266,36.227617,42.423356,25.444382,38.151185,34.260423,25.028544,73.196802,188.042722,175.505135,97.690847,3.282335,44.348058,43.289114,0.88133,2.704327,2.841847,76.657511,7.646369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317.866938,98.887798,74.165695,58.742926,51.750126,42.07112,34.811266,54.351104,36.18049,25.454491,88.475999,195.582538,162.770777,150.095122,9.811661,43.927424,50.15407,1.524065,5.489431,3.959174,85.604432,9.979273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311.735473,96.425148,71.224821,56.24676,57.330423,44.072701,41.589235,64.794583,32.809412,28.072678,100.816641,186.459543,158.879042,183.305537,13.177861,45.640464,56.938327,2.844916,7.94056,4.717017,79.51681,10.128871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309.302448,92.184765,66.331262,51.332043,61.705216,47.216833,45.557427,72.478681,31.777959,30.603791,99.770967,179.238941,160.843633,204.39248,15.440762,48.682572,60.048659,3.799053,9.607647,5.072617,75.551298,10.466248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303.828403,91.613417,64.002888,47.548677,58.231315,51.631901,44.671998,70.841073,34.846694,33.220045,89.310851,180.960431,180.306967,194.028938,17.078884,52.9597,59.112337,4.708292,10.758263,4.650757,76.933119,9.895856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291.46484,105.372733,78.474004,57.487034,56.440742,54.86784,42.775397,68.258697,42.017877,35.305647,82.987882,212.696027,215.028327,183.799553,15.83626,56.126313,56.108637,4.892421,10.743216,4.111825,91.912159,10.053138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297.649606,116.897495,95.557176,74.232696,57.910264,61.043759,42.782177,67.478492,46.811439,38.370123,91.863799,242.454461,220.504221,182.583504,15.28771,62.692438,57.580481,4.925363,10.111963,4.218806,108.293281,11.371518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343.311845,122.571801,105.62053,86.759562,62.355018,73.364577,43.042605,66.136931,50.611061,43.177807,108.902058,265.390639,221.341089,178.817321,16.079352,76.228265,62.456515,5.294502,9.878547,4.637633,124.757375,14.219451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417.025238,123.774094,108.331838,91.743903,73.357918,86.530758,50.402655,76.71556,51.461254,47.152191,144.348364,272.181916,223.788135,212.42675,18.377779,91.562813,74.189348,5.397379,10.310709,5.327811,132.129242,16.984279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467.221007,119.914054,102.568612,86.793712,79.147725,92.07111,57.883396,89.362111,42.695735,48.392472,158.750227,252.885336,187.671006,251.55837,20.533332,98.230787,84.129049,5.10432,10.677819,5.500201,116.082098,16.711484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467.829723,110.790763,89.560875,74.017686,76.47131,88.816071,58.449606,91.495225,35.125237,47.103144,144.348546,223.05977,149.72046,252.293564,20.857132,94.405899,84.540682,4.559342,10.380217,5.302732,97.911733,15.331551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434.303973,103.620064,80.298051,65.036729,74.606974,78.506747,56.377376,89.937632,28.631545,43.800116,125.470073,199.647148,127.049166,249.867209,22.706708,82.491324,77.329379,4.517278,11.043462,5.09185,81.497318,14.0688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427.109959,99.529866,76.800643,62.798951,73.203905,77.096428,57.189468,90.609668,23.779188,43.723254,128.433068,184.521572,104.346046,250.581815,23.701062,80.790707,80.430441,5.178668,12.362103,4.432777,71.355003,13.086278,21.709888,12.031552,2.256111,5.091318,9.226874,3.147198,6.272468,1.338168,2.607534,7.191933,19.616209,7.568225
471.977142,88.904326,66.959198,54.406734,65.062483,83.71781,55.359956,84.933114,17.447602,45.565328,124.641455,148.597998,77.221215,232.547485,18.639666,89.856123,85.96925,5.728759,12.355748,3.390056,53.640295,10.240891,37.425967,19.7631,8.177805,16.775436,37.742289,16.049272,31.484788,8.893903,17.144233,30.470481,45.741042,14.309076
492.236569,82.547896,61.083299,48.997071,53.999962,92.071116,45.552102,67.445397,17.222454,48.361082,103.891719,137.217765,72.681067,184.455694,14.671417,100.34396,76.028638,5.737313,10.60049,2.920201,50.069657,8.493647,22.908696,20.243093,17.64992,14.937685,61.768557,33.499494,39.387969,22.31191,44.108978,39.962978,44.69052,13.178332
410.006403,85.667927,63.902721,50.546739,50.739863,75.707573,39.755698,58.58344,19.788436,44.073961,102.092659,142.672029,88.300152,165.874896,13.569977,81.757135,63.662858,4.781388,8.641886,3.084543,53.567579,8.113991,29.996436,45.246605,42.828323,9.118956,48.150623,48.839302,22.807641,34.265155,51.381395,35.250476,64.69375,16.146213
454.449747,92.372881,70.789185,56.250529,59.060086,71.514046,49.39418,73.778002,21.554706,41.916007,119.336137,155.658292,89.621451,203.915376,16.492517,76.91428,79.676508,5.355044,11.023033,3.765444,61.169661,9.564384,18.143056,34.986469,19.684536,6.834153,58.347034,28.766543,11.949902,20.976771,31.608642,80.217332,83.885463,16.217147
495.365856,93.992296,73.991969,59.817228,69.154544,81.346462,57.680685,87.33676,21.033087,45.219511,146.63019,148.94949,100.496815,243.578004,18.37271,87.930871,90.20475,5.682283,12.113313,3.47425,58.292662,11.080926,14.75265,16.807083,6.639494,4.796065,19.683505,10.399317,10.324536,8.240997,12.578475,34.066364,33.626727,8.910641
526.258736,94.53625,72.690677,56.713213,70.36074,90.263398,64.063663,99.32005,27.078874,48.166974,149.10228,158.84009,137.544465,268.557398,21.157305,98.199879,100.740519,6.830902,14.786535,3.752038,65.028962,10.33973,2.428273,4.192601,3.328658,0.825796,5.313708,2.461234,1.041617,2.509277,4.196643,11.153363,8.484297,1.894228
535.534386,112.502159,91.037891,72.107522,66.076587,93.507905,56.515814,86.813567,40.046839,48.923885,129.790732,226.106206,184.595156,232.66061,19.50362,101.957886,93.392675,7.051339,14.359821,4.080019,98.733298,12.295004,0.0,0.0,0.004083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555.066276,119.605377,102.668948,85.140705,78.651799,101.934222,61.939851,95.278955,38.122653,51.338182,161.509621,240.131092,187.352117,265.161267,22.47014,112.136794,96.817191,7.024905,13.598494,4.827049,101.739317,15.890313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567.076895,124.389235,109.86382,93.804793,88.106728,113.968215,83.604952,128.681413,55.105263,54.082947,219.015756,272.924943,252.941884,337.014897,23.074415,126.70113,131.116143,7.579071,16.136637,5.229657,132.481683,17.715414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580.347215,126.161162,113.559988,99.389042,99.499142,118.694938,97.516588,154.337533,60.374402,55.088835,246.641911,286.15885,239.84754,406.752032,29.687531,133.432289,147.040476,9.010093,20.209935,6.362531,154.265942,21.449394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592.592478,125.078537,111.908344,98.112769,112.543182,125.816482,119.340989,203.209037,50.243893,56.565479,275.771633,276.106753,203.131566,502.196452,47.890431,143.059373,169.668383,11.462924,27.151782,8.075656,145.039412,26.520009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
